Number,Title,Default_Spirits,Mandatory_Spirits,Mandatory_Aspects,Restricted_Spirits,Restricted_Aspects,Adversary,Board_Setup,Game_Effects,Description,Victory_Text,Unlocks
1,First Contact,"River Surges in Sunlight, Lightning's Swift Strike, Shadows Flicker Like Flame",(none),,(none),,Brandenburg-Prussia,Standard,Use Blitz default scenario,"Dahan have been part of the island's life for a long time. So long, in fact, that some spirits don't remember a time without them. As such, the arrival of new Dahan, in strangely shaped ships, is at most a mild surprise to spirits of the island. It is only when they start building, unexpectedly fast, that spirits realise there's something different about them. Those are not Dahan at all - they are something completely different, and much more damaging.

River Surges in Sunlight, first, realises the threat. Hurriedly, it contacts nearby spirits. Vital Strength of the Earth, calmly sleeping, barely responds. Luckily, two other spirits are faster to react: Shadows Flicker Like Flame, and Lightning's Swift Strike.","The invaders' ships are still visible on the horizon. They may be keeping their distance right now, but there is little doubt in any one spirit's mind: they will be coming back. On a common accord, they decide to work together to rouse Vital Strength of the Earth and ask it to lend a hand.",Scenario #81
2,A New Spirit,"Stone's Unyielding Defiance, Shattered Days Split the Sky, Vital Strength of the Earth",Starlight Seeks its Form,,(none),,Habsburg,Fragment,Use A Diversity of Spirits default scenario,"New to the world and unaccustomed to its rules, the new spirit Seeking its Form sattaches itself to Stone's Unyielding Defiance, following it in its resistance against the invaders. Yet unable to speak to each other, spirits had to seek new ways of communicating with one another.","Stone's Unyielding Defiance now being supported by two spirits down from the heavens, Vital Strength of the Earth expresses a desire to go back to its own island, where it is desperately needed. Before it leaves, however, Stone's Unyielding Defiance offers this in thanks: to guide it to a location on the island where old artifacts are bound to make Vital Strength of the Earth significantly Mightier.
In the meantime, Shattered Days Split the Sky offers to seek the single piece of Sunshine that fell from the impact: it is bound to come in helpful, especially to a certain River spirit.",Scenario #44 and #84
3,Bring Beasts Forth,"A Spread of Rampant Green, Bringer of Dreams and Nightmares",(none),,Sharp Fangs Behind the Leaves,,England,Fragment,Additional victory condition: have a beasts token and the presence of either spirit in every jungle.,"A spirit of fangs and claws, with a sharp scent. One who sees in the dark, and can hear a noise from miles away. Surely, such a spirit would know of the object Bringer of Dreams and Nightmares spoke of. Usually, it lurks within luxuriant jungles...","A dark, sultry voice emerges from somewhere Behind the Leaves. Dahan are often blind to anything that is not directly in front of them, but beasts may scout the land and find much more than meets a human's eye. Certainly, beasts could seek those objects... Alas, there are spirits below the surface, within the flowing water and hiding within jungle leaves, and they do not always welcome such inquisition. Who knows how they may react?",Scenario #88
4,ASPECT of Wind,(none),"Finder of Paths Unseen, Lightning's Swift Strike",Wind,All other spirits,,Russia,Standard,"Use Powers Long Forgotten default scenario.
Additional loss condition: invaders discover all sources of power.
Spirits do not benefit from the first source of power they find.","Some legends say the Pathmaker can open up portals, linking two places as though they were adjacent. Others believe the Pathmaker has no such ability; instead, it moves as swiftly as the Wind from one place to the next, carrying spirits and Dahan on its wings. Perhaps both are true?
We know that Lightning's Swift Strike and the Pathmaker had a long conversation, though we do not know what was said. Somehow, as the spirits were seeking the source of power that brought them together, everything around them seemed to become more frantic...","As the search progressed, everything in the island seemed to accelerate: Dahan and invaders, beasts and wilds. The land itself evolved more rapidly, healing from its wounds faster than usual. Even after Lightning's Swift Strike's departure, the island seemed to stay on this unnaturally accelerated tempo.","If you won during your first game, unlock Lightning's Swift Strike's Wind aspect.
If you won during your second game, instead reveal Artifact #34.
Regardless of the outcome, unlock Scenario #41."
5,The Plantation Colony,"Grinning Trickster Stirs Up Trouble, Downpour Drenches the World, Many Minds Move as One",(none),,(none),,France,Standard,Use Guard the Isle's Heart default scenario,"On a South-Western island of the archipelago, a new kind of invader is reaching the coasts: one interested in turning the island into a plantation colony. To do so, they have brought other invaders, against their will, and are having them work in their place. Such a situation is unstable at best, and when such a metaphorical powder keg is placed nearby, there is bound to be a spirit to provide a match...","Seldom has Grinning Trickster Stirs Up Trouble seemed so invested in the island's defense. When it suggests to Downpour Drenches the World and Many Minds Move as One to help aspect-seeking spirits as it defends the island, the other two agree without hesitation: Downpour Drenches the World is delighted at the prospect of another rain-dance with Lightning's Swift Strike, and who knows what goes on in those Many Minds?","Scenario #19, #30 and #92"
6,Stalker of Hidden Secrets,"A Spread of Rampant Green, Sharp Fangs Behind the Leaves, Bringer of Dreams and Nightmares",(none),,Thunderspeaker,,England,Standard,Use Rituals of Terror default scenario.,Such a spirit as the Stalker of Hidden Secret is not easily found... and finding it does not mean that it will be willing to share any information. Yet it is the best chance of finding an answer. Bringer of Dreams and Nightmares suggests an offering of sorts - an opportunity for an acute spirit to see glimpses of the invaders' innermost fears: a valuable currency for some spirits.,"Stalker of Hidden Secrets does not so easily reveal itself, but the Ritual does not go unrewarded: as the last Ritual is being performed, all spirits share a vision, in which invaders of all origins strike bargains with Hearth-Vigil. As part of this bargain, Hearth-Vigil whispers rumours of objects of immense power hidden within the bowels of the earth. The invaders' eyes widen with greed. What they seek is a magic that would make them invulnerable!",Scenario #96
7,BENEATH THE ARCHIPELAGO: Memorabilia,(none),Stone's Unyielding Defiance,,Volcano Looming High,,Sweden,Standard,"Use Powers Long Forgotten default scenario
WARNING: Loss will result in the end of this side story.","There is no convincing Volcano Looming High to help any further; if anything, its anger threatens to put an early end to the spirits' quest. It did, however, point them in the right direction: if the Serpent's prison is made out of Stone, then perhaps a spirit of Stone would be willing to lend a hand. Perhaps somewhere under the earth, there is a key to freeing the long-imprisoned spirit.","Nobody, not even Stone's Unyielding Defiance, could have expected what followed: from the bottom of the sea, an entire island emerged. On it, beasts and Dahan were already well-established, apparently unaware of the watery ceiling they lived under for all those years. The island appears to be pulsating from a majestic energy, sure sign of the might of the spirit Slumbering Beneath.","If you won (either during your first or second game), unlock Scenario #70"
8,An Ocean Away,"River Surges in Sunlight, Ocean's Hungry Grasp, Thunderspeaker",(none),,"Lightning's Swift Strike, Vital Strength of the Earth, Shadows Flicker like Flame",,Sweden,Standard,(none),"River Surges in Sunlight crossed the archipelago, seeking the help of a kindred spirit from the watery depths: Ocean's Hungry Grasp. Nowhere to be found on the high seas, and nowhere to be found in the deep caves where it occasionally lurks; River Surges in Sunlight ultimately finds it oddly closer to shores. However, this is quickly explained as ships appear on the horizon. In the sky, a thunderous roar echoes as Ocean's Hungry Grasp chortles in satisfaction: today, its hunger may yet be sated.","Help, explains Ocean's Hungry Grasp, cannot be provided, as already it is providing assistance to Thunderspeaker. The ocean can be everywhere at once, but its hunger has limits, and no storm lasts forever. It is empty-handed that River Surges in Sunlight comes back to its original island.",Scenario #14
9,Field Experience,Stone's Unyielding Defiance,Starlight Seeks its Form,,Fractured Days Split the Sky,,Habsburg,Fragment,Use Rituals of the Destroying Flame default scenario,"One is not only defined by one's will: events also come into play. As such, Starlight Seeks its Form was invited to partake in the defense directly, for words and demonstrations cannot compare with direct experience. It is a risky decision, as invaders are already protected by their own rituals and Hearth-Vigil's blessing, but it is bound to be a defining moment of the new spirit's existence.","As the protection surrounding the invaders start to fade away once more, spirits are hailed by the Pathmaker, bearing news: spirits from all over the archipelago are gathering to discuss events relevant to them all. It is said that Many Minds Move as One bears news for those who can understand it; and that the very future of the archipelago may hang on the outcome of this meeting.",Scenario #80
10,A Second Barrier,"Keeper of the Forbidden Wilds, Thunderspeaker, Ocean's Hungry Grasp",(none),,(none),,Sweden,Standard,Use rituals of terror default scenario.,"Invaders are still fighting against the wall that has been erected before them, buying a bit of time for spirits to plan and discuss. It is agreed that their next step should be to seek out Hearth-Vigil, but none knows where it is.
As the spirits discourse, an increasingly high number of eyes spy upon them from the nearby jungle. A deep, sultry voice emerges from Behind the Leaves: if Hearth-Vigil helps the invaders, then surely it is among them that they should seek.
Spirits consider this advice: it is sensible, however none of them have much contact with the newcomers.
Oh, but there is one who can help, continues the voice Behind the Leaves. On an island South of here. Only, its help may not come cheap...
Spirits ponder upon this, and eventually agree to go and seek that spirit's help. Before leaving, they agree to perform another ritual, an additional layer of protection, for the wards they put on the shores will not last eternally.
Behind the Leaves, the spirit Grins.","Spirits prepare to depart, with the exception of Keeper of the Forbidden Wilds, duty-bound to the island.
As you travel, it says, consider crossing the Deepest Wilderness and reaching the Highest Volcano. There, you will find a child of Green and Fire. Should we need any additional help, consider waking it up. Be careful, however, as it is still young and carefree, and it may do more harm than good.",Scenario #62 and #67
